CLOSE_DEF_PERSON_ID, PLAYER_NAME, PLAYER_LAST_TEAM_ID, PLAYER_LAST_TEAM_ABBREVIATION, PLAYER_POSITION, AGE, GP, G, FREQ, D_FGM, D_FGA, D_FG_PCT, PCT_PLUSMINUS
203501, Tim Hardaway Jr., 1610612752, NYK, F-G, 26.0, 57, 57, 1.0, 4.86, 10.67, 0.456, 0.001
1626161, Willie Cauley-Stein, 1610612758, SAC, C, 24.0, 73, 73, 1.0, 4.89, 10.66, 0.459, -0.02
203084, Harrison Barnes, 1610612742, DAL, F, 26.0, 77, 77, 1.0, 4.7, 10.65, 0.441, -0.02
203114, Khris Middleton, 1610612749, MIL, F, 26.0, 81, 81, 1.0, 4.98, 10.65, 0.467, 0.014
1627820, Tyrone Wallace, 1610612746, LAC, G, 24.0, 29, 29, 1.0, 4.9, 10.62, 0.461, 0.004
203079, Dion Waiters, 1610612748, MIA, G, 26.0, 29, 29, 1.0, 5.14, 10.62, 0.484, 0.03
203901, Elfrid Payton, 1610612756, PHX, G, 24.0, 63, 63, 1.0, 5.14, 10.6, 0.485, 0.034
201147, Corey Brewer, 1610612760, OKC, G-F, 32.0, 18, 18, 1.0, 4.78, 10.56, 0.453, 0.004
203473, Dewayne Dedmon, 1610612737, ATL, C, 28.0, 59, 59, 1.0, 4.71, 10.56, 0.446, -0.028
1628372, Dennis Smith Jr., 1610612742, DAL, G, 20.0, 69, 69, 1.0, 5.0, 10.55, 0.474, 0.022
202691, Klay Thompson, 1610612744, GSW, G, 28.0, 73, 73, 1.0, 4.66, 10.4, 0.448, -0.003
201976, Patrick Beverley, 1610612746, LAC, G, 29.0, 11, 11, 1.0, 5.18, 10.36, 0.5, 0.061
203081, Damian Lillard, 1610612757, POR, G, 27.0, 73, 73, 1.0, 4.29, 10.32, 0.416, -0.024
101108, Chris Paul, 1610612745, HOU, G, 33.0, 58, 58, 1.0, 4.88, 10.21, 0.478, 0.022
1628386, Jarrett Allen, 1610612751, BKN, C, 20.0, 70, 70, 1.0, 4.7, 10.16, 0.463, -0.021
204020, Tyler Johnson, 1610612748, MIA, G, 26.0, 70, 70, 1.0, 4.79, 10.14, 0.472, 0.022
202339, Eric Bledsoe, 1610612749, MIL, G, 28.0, 73, 73, 1.0, 4.52, 10.12, 0.447, -0.001
202693, Markieff Morris, 1610612764, WAS, F, 28.0, 73, 73, 1.0, 4.67, 10.1, 0.463, -0.006
2199, Tyson Chandler, 1610612756, PHX, C, 35.0, 46, 46, 1.0, 5.02, 10.09, 0.498, 0.008
